Distance [mm], X-axis [g], Y-axis [g], Z-axis [g]
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 31, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0858, -0.0234, 0.8736
, 32, 0.0858, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 31, 0.0936, -0.0234, 0.8736
, 31, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0156, 0.8736
, 32, 0.0936, -0.0156, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 31, 0.0936, -0.0234, 0.8736
, 31, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0156, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 31, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0858, -0.0234, 0.8736
, 32, 0.0858, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 31, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.8736
, 32, 0.0936, -0.0234, 0.86579996
, 32, 0.0936, -0.0234, 0.86579996
, 32, 0.0936, -0.0234, 0.8736
, 31, 0.0936, -0.0156, 0.8736
